"lon","lat","CLASS","geometry","name"
-14.875,15.375,"Des_Line","POINT (-14.875 15.375)","Senegal"
-14.625,15.375,"Des_Line","POINT (-14.625 15.375)","Senegal"
-14.375,15.375,"Des_Line","POINT (-14.375 15.375)","Senegal"
-14.125,15.375,"Des_Line","POINT (-14.125 15.375)","Senegal"
-13.875,15.375,"Des_Line","POINT (-13.875 15.375)","Senegal"
-15.625,15.125,"Des_Line","POINT (-15.625 15.125)","Senegal"
-15.375,15.125,"Des_Line","POINT (-15.375 15.125)","Senegal"
-15.125,15.125,"Des_Line","POINT (-15.125 15.125)","Senegal"
-13.625,15.125,"Des_Line","POINT (-13.625 15.125)","Senegal"
-13.375,15.125,"Des_Line","POINT (-13.375 15.125)","Senegal"
-13.125,15.125,"Des_Line","POINT (-13.125 15.125)","Senegal"
-13.125,14.875,"Des_Line","POINT (-13.125 14.875)","Senegal"
-12.875,14.875,"Des_Line","POINT (-12.875 14.875)","Senegal"
-12.625,14.875,"Des_Line","POINT (-12.625 14.875)","Senegal"
-12.375,14.625,"Des_Line","POINT (-12.375 14.625)","Senegal"
-12.125,14.625,"Des_Line","POINT (-12.125 14.625)","Mali"
-11.875,14.625,"Des_Line","POINT (-11.875 14.625)","Mali"
38.125,14.625,"Des_Line","POINT (38.125 14.625)","Ethiopia"
38.875,14.625,"Des_Line","POINT (38.875 14.625)","Ethiopia"
39.125,14.625,"Des_Line","POINT (39.125 14.625)","Ethiopia"
-11.625,14.375,"Des_Line","POINT (-11.625 14.375)","Mali"
-11.375,14.375,"Des_Line","POINT (-11.375 14.375)","Mali"
-11.125,14.375,"Des_Line","POINT (-11.125 14.375)","Mali"
-10.875,14.375,"Des_Line","POINT (-10.875 14.375)","Mali"
-10.625,14.375,"Des_Line","POINT (-10.625 14.375)","Mali"
-10.375,14.375,"Des_Line","POINT (-10.375 14.375)","Mali"
-10.125,14.375,"Des_Line","POINT (-10.125 14.375)","Mali"
-9.875,14.375,"Des_Line","POINT (-9.875 14.375)","Mali"
-9.625,14.375,"Des_Line","POINT (-9.625 14.375)","Mali"
-9.375,14.375,"Des_Line","POINT (-9.375 14.375)","Mali"
-9.125,14.375,"Des_Line","POINT (-9.125 14.375)","Mali"
37.875,14.375,"Des_Line","POINT (37.875 14.375)","Ethiopia"
39.375,14.375,"Des_Line","POINT (39.375 14.375)","Ethiopia"
39.625,14.375,"Des_Line","POINT (39.625 14.375)","Ethiopia"
-8.875,14.125,"Des_Line","POINT (-8.875 14.125)","Mali"
-8.625,14.125,"Des_Line","POINT (-8.625 14.125)","Mali"
-8.375,14.125,"Des_Line","POINT (-8.375 14.125)","Mali"
36.875,14.125,"Des_Line","POINT (36.875 14.125)","Ethiopia"
37.125,14.125,"Des_Line","POINT (37.125 14.125)","Ethiopia"
39.625,14.125,"Des_Line","POINT (39.625 14.125)","Ethiopia"
-8.125,13.875,"Des_Line","POINT (-8.125 13.875)","Mali"
-7.875,13.875,"Des_Line","POINT (-7.875 13.875)","Mali"
36.375,13.875,"Des_Line","POINT (36.375 13.875)","Ethiopia"
36.625,13.875,"Des_Line","POINT (36.625 13.875)","Ethiopia"
39.625,13.875,"Des_Line","POINT (39.625 13.875)","Ethiopia"
-7.625,13.625,"Des_Line","POINT (-7.625 13.625)","Mali"
-7.375,13.625,"Des_Line","POINT (-7.375 13.625)","Mali"
-7.125,13.625,"Des_Line","POINT (-7.125 13.625)","Mali"
-6.875,13.625,"Des_Line","POINT (-6.875 13.625)","Mali"
-6.625,13.625,"Des_Line","POINT (-6.625 13.625)","Mali"
-6.375,13.625,"Des_Line","POINT (-6.375 13.625)","Mali"
-6.125,13.625,"Des_Line","POINT (-6.125 13.625)","Mali"
-5.875,13.625,"Des_Line","POINT (-5.875 13.625)","Mali"
35.875,13.625,"Des_Line","POINT (35.875 13.625)","Sudan"
36.125,13.625,"Des_Line","POINT (36.125 13.625)","Sudan"
39.875,13.625,"Des_Line","POINT (39.875 13.625)","Ethiopia"
-5.625,13.375,"Des_Line","POINT (-5.625 13.375)","Mali"
-5.375,13.375,"Des_Line","POINT (-5.375 13.375)","Mali"
-5.125,13.375,"Des_Line","POINT (-5.125 13.375)","Mali"
-4.875,13.375,"Des_Line","POINT (-4.875 13.375)","Mali"
-2.625,13.375,"Des_Line","POINT (-2.625 13.375)","Burkina Faso"
-2.375,13.375,"Des_Line","POINT (-2.375 13.375)","Burkina Faso"
35.625,13.375,"Des_Line","POINT (35.625 13.375)","Sudan"
35.875,13.375,"Des_Line","POINT (35.875 13.375)","Sudan"
39.875,13.375,"Des_Line","POINT (39.875 13.375)","Ethiopia"
-4.625,13.125,"Des_Line","POINT (-4.625 13.125)","Mali"
-4.375,13.125,"Des_Line","POINT (-4.375 13.125)","Mali"
-4.125,13.125,"Des_Line","POINT (-4.125 13.125)","Burkina Faso"
-3.875,13.125,"Des_Line","POINT (-3.875 13.125)","Burkina Faso"
-3.625,13.125,"Des_Line","POINT (-3.625 13.125)","Burkina Faso"
-3.375,13.125,"Des_Line","POINT (-3.375 13.125)","Burkina Faso"
-3.125,13.125,"Des_Line","POINT (-3.125 13.125)","Burkina Faso"
-2.875,13.125,"Des_Line","POINT (-2.875 13.125)","Burkina Faso"
-2.125,13.125,"Des_Line","POINT (-2.125 13.125)","Burkina Faso"
-1.875,13.125,"Des_Line","POINT (-1.875 13.125)","Burkina Faso"
-1.625,13.125,"Des_Line","POINT (-1.625 13.125)","Burkina Faso"
-1.375,13.125,"Des_Line","POINT (-1.375 13.125)","Burkina Faso"
-1.125,13.125,"Des_Line","POINT (-1.125 13.125)","Burkina Faso"
-0.875,13.125,"Des_Line","POINT (-0.875 13.125)","Burkina Faso"
-0.625,13.125,"Des_Line","POINT (-0.625 13.125)","Burkina Faso"
2.375,13.125,"Des_Line","POINT (2.375 13.125)","Niger"
2.625,13.125,"Des_Line","POINT (2.625 13.125)","Niger"
2.875,13.125,"Des_Line","POINT (2.875 13.125)","Niger"
35.375,13.125,"Des_Line","POINT (35.375 13.125)","Sudan"
35.625,13.125,"Des_Line","POINT (35.625 13.125)","Sudan"
39.875,13.125,"Des_Line","POINT (39.875 13.125)","Ethiopia"
-0.375,12.875,"Des_Line","POINT (-0.375 12.875)","Burkina Faso"
-0.125,12.875,"Des_Line","POINT (-0.125 12.875)","Burkina Faso"
0.125,12.875,"Des_Line","POINT (0.125 12.875)","Burkina Faso"
0.375,12.875,"Des_Line","POINT (0.375 12.875)","Burkina Faso"
0.625,12.875,"Des_Line","POINT (0.625 12.875)","Burkina Faso"
0.875,12.875,"Des_Line","POINT (0.875 12.875)","Burkina Faso"
1.125,12.875,"Des_Line","POINT (1.125 12.875)","Niger"
1.375,12.875,"Des_Line","POINT (1.375 12.875)","Niger"
1.625,12.875,"Des_Line","POINT (1.625 12.875)","Niger"
1.875,12.875,"Des_Line","POINT (1.875 12.875)","Niger"
2.125,12.875,"Des_Line","POINT (2.125 12.875)","Niger"
3.125,12.875,"Des_Line","POINT (3.125 12.875)","Niger"
3.375,12.875,"Des_Line","POINT (3.375 12.875)","Niger"
3.625,12.875,"Des_Line","POINT (3.625 12.875)","Niger"
35.125,12.875,"Des_Line","POINT (35.125 12.875)","Sudan"
35.375,12.875,"Des_Line","POINT (35.375 12.875)","Sudan"
39.875,12.875,"Des_Line","POINT (39.875 12.875)","Ethiopia"
3.875,12.625,"Des_Line","POINT (3.875 12.625)","Nigeria"
4.125,12.625,"Des_Line","POINT (4.125 12.625)","Nigeria"
6.375,12.625,"Des_Line","POINT (6.375 12.625)","Nigeria"
6.625,12.625,"Des_Line","POINT (6.625 12.625)","Nigeria"
6.875,12.625,"Des_Line","POINT (6.875 12.625)","Nigeria"
7.125,12.625,"Des_Line","POINT (7.125 12.625)","Nigeria"
34.875,12.625,"Des_Line","POINT (34.875 12.625)","Sudan"
35.125,12.625,"Des_Line","POINT (35.125 12.625)","Sudan"
39.875,12.625,"Des_Line","POINT (39.875 12.625)","Ethiopia"
4.375,12.375,"Des_Line","POINT (4.375 12.375)","Nigeria"
4.625,12.375,"Des_Line","POINT (4.625 12.375)","Nigeria"
4.875,12.375,"Des_Line","POINT (4.875 12.375)","Nigeria"
5.125,12.375,"Des_Line","POINT (5.125 12.375)","Nigeria"
5.375,12.375,"Des_Line","POINT (5.375 12.375)","Nigeria"
5.625,12.375,"Des_Line","POINT (5.625 12.375)","Nigeria"
5.875,12.375,"Des_Line","POINT (5.875 12.375)","Nigeria"
6.125,12.375,"Des_Line","POINT (6.125 12.375)","Nigeria"
7.375,12.375,"Des_Line","POINT (7.375 12.375)","Nigeria"
7.625,12.375,"Des_Line","POINT (7.625 12.375)","Nigeria"
7.875,12.375,"Des_Line","POINT (7.875 12.375)","Nigeria"
34.625,12.375,"Des_Line","POINT (34.625 12.375)","Sudan"
34.875,12.375,"Des_Line","POINT (34.875 12.375)","Sudan"
40.125,12.375,"Des_Line","POINT (40.125 12.375)","Ethiopia"
8.125,12.125,"Des_Line","POINT (8.125 12.125)","Nigeria"
8.375,12.125,"Des_Line","POINT (8.375 12.125)","Nigeria"
34.625,12.125,"Des_Line","POINT (34.625 12.125)","Sudan"
40.125,12.125,"Des_Line","POINT (40.125 12.125)","Ethiopia"
8.625,11.875,"Des_Line","POINT (8.625 11.875)","Nigeria"
8.875,11.875,"Des_Line","POINT (8.875 11.875)","Nigeria"
9.125,11.875,"Des_Line","POINT (9.125 11.875)","Nigeria"
34.375,11.875,"Des_Line","POINT (34.375 11.875)","Sudan"
40.125,11.875,"Des_Line","POINT (40.125 11.875)","Ethiopia"
9.375,11.625,"Des_Line","POINT (9.375 11.625)","Nigeria"
9.625,11.625,"Des_Line","POINT (9.625 11.625)","Nigeria"
19.625,11.625,"Des_Line","POINT (19.625 11.625)","Chad"
19.875,11.625,"Des_Line","POINT (19.875 11.625)","Chad"
34.375,11.625,"Des_Line","POINT (34.375 11.625)","Sudan"
40.375,11.625,"Des_Line","POINT (40.375 11.625)","Ethiopia"
9.875,11.375,"Des_Line","POINT (9.875 11.375)","Nigeria"
10.125,11.375,"Des_Line","POINT (10.125 11.375)","Nigeria"
18.625,11.375,"Des_Line","POINT (18.625 11.375)","Chad"
18.875,11.375,"Des_Line","POINT (18.875 11.375)","Chad"
19.125,11.375,"Des_Line","POINT (19.125 11.375)","Chad"
19.375,11.375,"Des_Line","POINT (19.375 11.375)","Chad"
20.125,11.375,"Des_Line","POINT (20.125 11.375)","Chad"
20.375,11.375,"Des_Line","POINT (20.375 11.375)","Chad"
20.625,11.375,"Des_Line","POINT (20.625 11.375)","Chad"
34.125,11.375,"Des_Line","POINT (34.125 11.375)","Sudan"
34.375,11.375,"Des_Line","POINT (34.375 11.375)","Sudan"
40.375,11.375,"Des_Line","POINT (40.375 11.375)","Ethiopia"
10.375,11.125,"Des_Line","POINT (10.375 11.125)","Nigeria"
10.625,11.125,"Des_Line","POINT (10.625 11.125)","Nigeria"
10.875,11.125,"Des_Line","POINT (10.875 11.125)","Nigeria"
14.375,11.125,"Des_Line","POINT (14.375 11.125)","Cameroon"
14.625,11.125,"Des_Line","POINT (14.625 11.125)","Cameroon"
14.875,11.125,"Des_Line","POINT (14.875 11.125)","Cameroon"
15.125,11.125,"Des_Line","POINT (15.125 11.125)","Chad"
15.375,11.125,"Des_Line","POINT (15.375 11.125)","Chad"
15.625,11.125,"Des_Line","POINT (15.625 11.125)","Chad"
15.875,11.125,"Des_Line","POINT (15.875 11.125)","Chad"
16.125,11.125,"Des_Line","POINT (16.125 11.125)","Chad"
16.375,11.125,"Des_Line","POINT (16.375 11.125)","Chad"
16.625,11.125,"Des_Line","POINT (16.625 11.125)","Chad"
16.875,11.125,"Des_Line","POINT (16.875 11.125)","Chad"
17.125,11.125,"Des_Line","POINT (17.125 11.125)","Chad"
17.375,11.125,"Des_Line","POINT (17.375 11.125)","Chad"
17.625,11.125,"Des_Line","POINT (17.625 11.125)","Chad"
