"lon","lat","CLASS","geometry","name"
-11.625,16.125,"Des_Line","POINT (-11.625 16.125)","Mauritania"
-11.375,16.125,"Des_Line","POINT (-11.375 16.125)","Mauritania"
-11.125,16.125,"Des_Line","POINT (-11.125 16.125)","Mauritania"
-13.375,15.875,"Des_Line","POINT (-13.375 15.875)","Senegal"
-13.125,15.875,"Des_Line","POINT (-13.125 15.875)","Mauritania"
-12.875,15.875,"Des_Line","POINT (-12.875 15.875)","Mauritania"
-12.625,15.875,"Des_Line","POINT (-12.625 15.875)","Mauritania"
-12.375,15.875,"Des_Line","POINT (-12.375 15.875)","Mauritania"
-12.125,15.875,"Des_Line","POINT (-12.125 15.875)","Mauritania"
-11.875,15.875,"Des_Line","POINT (-11.875 15.875)","Mauritania"
-10.875,15.875,"Des_Line","POINT (-10.875 15.875)","Mauritania"
-10.625,15.875,"Des_Line","POINT (-10.625 15.875)","Mauritania"
-10.375,15.875,"Des_Line","POINT (-10.375 15.875)","Mauritania"
-10.125,15.875,"Des_Line","POINT (-10.125 15.875)","Mauritania"
-9.875,15.875,"Des_Line","POINT (-9.875 15.875)","Mauritania"
-14.125,15.625,"Des_Line","POINT (-14.125 15.625)","Senegal"
-13.875,15.625,"Des_Line","POINT (-13.875 15.625)","Senegal"
-13.625,15.625,"Des_Line","POINT (-13.625 15.625)","Senegal"
-9.625,15.625,"Des_Line","POINT (-9.625 15.625)","Mauritania"
-9.375,15.625,"Des_Line","POINT (-9.375 15.625)","Mauritania"
-9.125,15.625,"Des_Line","POINT (-9.125 15.625)","Mauritania"
-8.875,15.625,"Des_Line","POINT (-8.875 15.625)","Mauritania"
-15.625,15.375,"Des_Line","POINT (-15.625 15.375)","Senegal"
-15.375,15.375,"Des_Line","POINT (-15.375 15.375)","Senegal"
-15.125,15.375,"Des_Line","POINT (-15.125 15.375)","Senegal"
-14.875,15.375,"Des_Line","POINT (-14.875 15.375)","Senegal"
-14.625,15.375,"Des_Line","POINT (-14.625 15.375)","Senegal"
-14.375,15.375,"Des_Line","POINT (-14.375 15.375)","Senegal"
-8.625,15.375,"Des_Line","POINT (-8.625 15.375)","Mali"
-8.375,15.375,"Des_Line","POINT (-8.375 15.375)","Mali"
-8.125,15.375,"Des_Line","POINT (-8.125 15.375)","Mali"
-6.375,15.375,"Des_Line","POINT (-6.375 15.375)","Mali"
-6.125,15.375,"Des_Line","POINT (-6.125 15.375)","Mali"
-5.875,15.375,"Des_Line","POINT (-5.875 15.375)","Mali"
-7.875,15.125,"Des_Line","POINT (-7.875 15.125)","Mali"
-7.625,15.125,"Des_Line","POINT (-7.625 15.125)","Mali"
-7.375,15.125,"Des_Line","POINT (-7.375 15.125)","Mali"
-7.125,15.125,"Des_Line","POINT (-7.125 15.125)","Mali"
-6.875,15.125,"Des_Line","POINT (-6.875 15.125)","Mali"
-6.625,15.125,"Des_Line","POINT (-6.625 15.125)","Mali"
-5.625,15.125,"Des_Line","POINT (-5.625 15.125)","Mali"
-5.375,15.125,"Des_Line","POINT (-5.375 15.125)","Mali"
-5.125,15.125,"Des_Line","POINT (-5.125 15.125)","Mali"
-4.875,15.125,"Des_Line","POINT (-4.875 15.125)","Mali"
-4.625,15.125,"Des_Line","POINT (-4.625 15.125)","Mali"
-4.375,15.125,"Des_Line","POINT (-4.375 15.125)","Mali"
-4.125,15.125,"Des_Line","POINT (-4.125 15.125)","Mali"
-3.875,15.125,"Des_Line","POINT (-3.875 15.125)","Mali"
-3.625,15.125,"Des_Line","POINT (-3.625 15.125)","Mali"
-3.375,15.125,"Des_Line","POINT (-3.375 15.125)","Mali"
-3.125,15.125,"Des_Line","POINT (-3.125 15.125)","Mali"
-2.875,15.125,"Des_Line","POINT (-2.875 15.125)","Mali"
-2.625,14.875,"Des_Line","POINT (-2.625 14.875)","Mali"
-2.375,14.875,"Des_Line","POINT (-2.375 14.875)","Mali"
-2.125,14.875,"Des_Line","POINT (-2.125 14.875)","Mali"
-1.875,14.875,"Des_Line","POINT (-1.875 14.875)","Mali"
-1.625,14.875,"Des_Line","POINT (-1.625 14.875)","Mali"
-1.375,14.875,"Des_Line","POINT (-1.375 14.875)","Mali"
-1.125,14.875,"Des_Line","POINT (-1.125 14.875)","Burkina Faso"
3.125,14.875,"Des_Line","POINT (3.125 14.875)","Niger"
3.375,14.875,"Des_Line","POINT (3.375 14.875)","Niger"
3.625,14.875,"Des_Line","POINT (3.625 14.875)","Niger"
-0.875,14.625,"Des_Line","POINT (-0.875 14.625)","Burkina Faso"
-0.625,14.625,"Des_Line","POINT (-0.625 14.625)","Burkina Faso"
-0.375,14.625,"Des_Line","POINT (-0.375 14.625)","Burkina Faso"
-0.125,14.625,"Des_Line","POINT (-0.125 14.625)","Burkina Faso"
2.125,14.625,"Des_Line","POINT (2.125 14.625)","Niger"
2.375,14.625,"Des_Line","POINT (2.375 14.625)","Niger"
2.625,14.625,"Des_Line","POINT (2.625 14.625)","Niger"
2.875,14.625,"Des_Line","POINT (2.875 14.625)","Niger"
3.875,14.625,"Des_Line","POINT (3.875 14.625)","Niger"
