"lon","lat","CLASS","geometry","name"
-11.625,15.625,"Des_Line","POINT (-11.625 15.625)","Mauritania"
-11.375,15.625,"Des_Line","POINT (-11.375 15.625)","Mauritania"
-11.125,15.625,"Des_Line","POINT (-11.125 15.625)","Mauritania"
-10.875,15.625,"Des_Line","POINT (-10.875 15.625)","Mauritania"
-10.625,15.625,"Des_Line","POINT (-10.625 15.625)","Mauritania"
-10.375,15.625,"Des_Line","POINT (-10.375 15.625)","Mauritania"
-10.125,15.625,"Des_Line","POINT (-10.125 15.625)","Mauritania"
-9.875,15.625,"Des_Line","POINT (-9.875 15.625)","Mauritania"
-9.625,15.625,"Des_Line","POINT (-9.625 15.625)","Mauritania"
-9.375,15.625,"Des_Line","POINT (-9.375 15.625)","Mauritania"
-9.125,15.625,"Des_Line","POINT (-9.125 15.625)","Mauritania"
-15.625,15.375,"Des_Line","POINT (-15.625 15.375)","Senegal"
-15.375,15.375,"Des_Line","POINT (-15.375 15.375)","Senegal"
-13.625,15.375,"Des_Line","POINT (-13.625 15.375)","Senegal"
-13.375,15.375,"Des_Line","POINT (-13.375 15.375)","Senegal"
-13.125,15.375,"Des_Line","POINT (-13.125 15.375)","Senegal"
-12.875,15.375,"Des_Line","POINT (-12.875 15.375)","Mauritania"
-12.625,15.375,"Des_Line","POINT (-12.625 15.375)","Mauritania"
-12.375,15.375,"Des_Line","POINT (-12.375 15.375)","Mauritania"
-12.125,15.375,"Des_Line","POINT (-12.125 15.375)","Mauritania"
-11.875,15.375,"Des_Line","POINT (-11.875 15.375)","Mauritania"
-8.875,15.375,"Des_Line","POINT (-8.875 15.375)","Mali"
-8.625,15.375,"Des_Line","POINT (-8.625 15.375)","Mali"
-8.375,15.375,"Des_Line","POINT (-8.375 15.375)","Mali"
-15.125,15.125,"Des_Line","POINT (-15.125 15.125)","Senegal"
-14.875,15.125,"Des_Line","POINT (-14.875 15.125)","Senegal"
-14.625,15.125,"Des_Line","POINT (-14.625 15.125)","Senegal"
-14.375,15.125,"Des_Line","POINT (-14.375 15.125)","Senegal"
-14.125,15.125,"Des_Line","POINT (-14.125 15.125)","Senegal"
-13.875,15.125,"Des_Line","POINT (-13.875 15.125)","Senegal"
-8.375,15.125,"Des_Line","POINT (-8.375 15.125)","Mali"
-8.125,15.125,"Des_Line","POINT (-8.125 15.125)","Mali"
-7.875,15.125,"Des_Line","POINT (-7.875 15.125)","Mali"
-7.625,14.875,"Des_Line","POINT (-7.625 14.875)","Mali"
-7.375,14.875,"Des_Line","POINT (-7.375 14.875)","Mali"
-7.125,14.875,"Des_Line","POINT (-7.125 14.875)","Mali"
-5.375,14.875,"Des_Line","POINT (-5.375 14.875)","Mali"
-3.375,14.875,"Des_Line","POINT (-3.375 14.875)","Mali"
-3.125,14.875,"Des_Line","POINT (-3.125 14.875)","Mali"
-2.875,14.875,"Des_Line","POINT (-2.875 14.875)","Mali"
-2.625,14.875,"Des_Line","POINT (-2.625 14.875)","Mali"
-2.375,14.875,"Des_Line","POINT (-2.375 14.875)","Mali"
-2.125,14.875,"Des_Line","POINT (-2.125 14.875)","Mali"
-1.875,14.875,"Des_Line","POINT (-1.875 14.875)","Mali"
-1.625,14.875,"Des_Line","POINT (-1.625 14.875)","Mali"
-1.375,14.875,"Des_Line","POINT (-1.375 14.875)","Mali"
-1.125,14.875,"Des_Line","POINT (-1.125 14.875)","Burkina Faso"
0.375,14.875,"Des_Line","POINT (0.375 14.875)","Niger"
0.625,14.875,"Des_Line","POINT (0.625 14.875)","Niger"
0.875,14.875,"Des_Line","POINT (0.875 14.875)","Niger"
1.125,14.875,"Des_Line","POINT (1.125 14.875)","Niger"
1.375,14.875,"Des_Line","POINT (1.375 14.875)","Niger"
1.625,14.875,"Des_Line","POINT (1.625 14.875)","Niger"
1.875,14.875,"Des_Line","POINT (1.875 14.875)","Niger"
2.125,14.875,"Des_Line","POINT (2.125 14.875)","Niger"
2.375,14.875,"Des_Line","POINT (2.375 14.875)","Niger"
-6.875,14.625,"Des_Line","POINT (-6.875 14.625)","Mali"
-6.625,14.625,"Des_Line","POINT (-6.625 14.625)","Mali"
-6.375,14.625,"Des_Line","POINT (-6.375 14.625)","Mali"
-6.125,14.625,"Des_Line","POINT (-6.125 14.625)","Mali"
-5.875,14.625,"Des_Line","POINT (-5.875 14.625)","Mali"
-5.625,14.625,"Des_Line","POINT (-5.625 14.625)","Mali"
-5.125,14.625,"Des_Line","POINT (-5.125 14.625)","Mali"
-4.875,14.625,"Des_Line","POINT (-4.875 14.625)","Mali"
-4.625,14.625,"Des_Line","POINT (-4.625 14.625)","Mali"
-4.375,14.625,"Des_Line","POINT (-4.375 14.625)","Mali"
-4.125,14.625,"Des_Line","POINT (-4.125 14.625)","Mali"
-3.875,14.625,"Des_Line","POINT (-3.875 14.625)","Mali"
-3.625,14.625,"Des_Line","POINT (-3.625 14.625)","Mali"
-0.875,14.625,"Des_Line","POINT (-0.875 14.625)","Burkina Faso"
-0.625,14.625,"Des_Line","POINT (-0.625 14.625)","Burkina Faso"
-0.375,14.625,"Des_Line","POINT (-0.375 14.625)","Burkina Faso"
-0.125,14.625,"Des_Line","POINT (-0.125 14.625)","Burkina Faso"
0.125,14.625,"Des_Line","POINT (0.125 14.625)","Burkina Faso"
2.625,14.625,"Des_Line","POINT (2.625 14.625)","Niger"
2.875,14.625,"Des_Line","POINT (2.875 14.625)","Niger"
3.125,14.625,"Des_Line","POINT (3.125 14.625)","Niger"
3.375,14.625,"Des_Line","POINT (3.375 14.625)","Niger"
6.375,14.625,"Des_Line","POINT (6.375 14.625)","Niger"
6.625,14.625,"Des_Line","POINT (6.625 14.625)","Niger"
6.875,14.625,"Des_Line","POINT (6.875 14.625)","Niger"
21.625,14.625,"Des_Line","POINT (21.625 14.625)","Chad"
21.875,14.625,"Des_Line","POINT (21.875 14.625)","Chad"
22.125,14.625,"Des_Line","POINT (22.125 14.625)","Chad"
22.375,14.625,"Des_Line","POINT (22.375 14.625)","Chad"
22.625,14.625,"Des_Line","POINT (22.625 14.625)","Sudan"
35.375,14.625,"Des_Line","POINT (35.375 14.625)","Sudan"
35.625,14.625,"Des_Line","POINT (35.625 14.625)","Sudan"
35.875,14.625,"Des_Line","POINT (35.875 14.625)","Sudan"
36.125,14.625,"Des_Line","POINT (36.125 14.625)","Sudan"
36.375,14.625,"Des_Line","POINT (36.375 14.625)","Sudan"
3.625,14.375,"Des_Line","POINT (3.625 14.375)","Niger"
3.875,14.375,"Des_Line","POINT (3.875 14.375)","Niger"
4.125,14.375,"Des_Line","POINT (4.125 14.375)","Niger"
4.375,14.375,"Des_Line","POINT (4.375 14.375)","Niger"
4.625,14.375,"Des_Line","POINT (4.625 14.375)","Niger"
4.875,14.375,"Des_Line","POINT (4.875 14.375)","Niger"
5.125,14.375,"Des_Line","POINT (5.125 14.375)","Niger"
5.375,14.375,"Des_Line","POINT (5.375 14.375)","Niger"
5.625,14.375,"Des_Line","POINT (5.625 14.375)","Niger"
5.875,14.375,"Des_Line","POINT (5.875 14.375)","Niger"
6.125,14.375,"Des_Line","POINT (6.125 14.375)","Niger"
7.125,14.375,"Des_Line","POINT (7.125 14.375)","Niger"
7.375,14.375,"Des_Line","POINT (7.375 14.375)","Niger"
7.625,14.375,"Des_Line","POINT (7.625 14.375)","Niger"
21.125,14.375,"Des_Line","POINT (21.125 14.375)","Chad"
21.375,14.375,"Des_Line","POINT (21.375 14.375)","Chad"
22.875,14.375,"Des_Line","POINT (22.875 14.375)","Sudan"
23.125,14.375,"Des_Line","POINT (23.125 14.375)","Sudan"
34.625,14.375,"Des_Line","POINT (34.625 14.375)","Sudan"
34.875,14.375,"Des_Line","POINT (34.875 14.375)","Sudan"
35.125,14.375,"Des_Line","POINT (35.125 14.375)","Sudan"
7.875,14.125,"Des_Line","POINT (7.875 14.125)","Niger"
8.125,14.125,"Des_Line","POINT (8.125 14.125)","Niger"
8.375,14.125,"Des_Line","POINT (8.375 14.125)","Niger"
20.875,14.125,"Des_Line","POINT (20.875 14.125)","Chad"
21.125,14.125,"Des_Line","POINT (21.125 14.125)","Chad"
23.125,14.125,"Des_Line","POINT (23.125 14.125)","Sudan"
23.375,14.125,"Des_Line","POINT (23.375 14.125)","Sudan"
34.375,14.125,"Des_Line","POINT (34.375 14.125)","Sudan"
34.625,14.125,"Des_Line","POINT (34.625 14.125)","Sudan"
8.625,13.875,"Des_Line","POINT (8.625 13.875)","Niger"
8.875,13.875,"Des_Line","POINT (8.875 13.875)","Niger"
20.625,13.875,"Des_Line","POINT (20.625 13.875)","Chad"
20.875,13.875,"Des_Line","POINT (20.875 13.875)","Chad"
23.625,13.875,"Des_Line","POINT (23.625 13.875)","Sudan"
23.875,13.875,"Des_Line","POINT (23.875 13.875)","Sudan"
34.375,13.875,"Des_Line","POINT (34.375 13.875)","Sudan"
40.125,13.875,"Des_Line","POINT (40.125 13.875)","Ethiopia"
8.875,13.625,"Des_Line","POINT (8.875 13.625)","Niger"
9.125,13.625,"Des_Line","POINT (9.125 13.625)","Niger"
10.875,13.625,"Des_Line","POINT (10.875 13.625)","Niger"
11.125,13.625,"Des_Line","POINT (11.125 13.625)","Niger"
11.375,13.625,"Des_Line","POINT (11.375 13.625)","Niger"
18.375,13.625,"Des_Line","POINT (18.375 13.625)","Chad"
18.625,13.625,"Des_Line","POINT (18.625 13.625)","Chad"
18.875,13.625,"Des_Line","POINT (18.875 13.625)","Chad"
19.125,13.625,"Des_Line","POINT (19.125 13.625)","Chad"
19.375,13.625,"Des_Line","POINT (19.375 13.625)","Chad"
19.625,13.625,"Des_Line","POINT (19.625 13.625)","Chad"
19.875,13.625,"Des_Line","POINT (19.875 13.625)","Chad"
20.125,13.625,"Des_Line","POINT (20.125 13.625)","Chad"
20.375,13.625,"Des_Line","POINT (20.375 13.625)","Chad"
20.625,13.625,"Des_Line","POINT (20.625 13.625)","Chad"
24.125,13.625,"Des_Line","POINT (24.125 13.625)","Sudan"
24.375,13.625,"Des_Line","POINT (24.375 13.625)","Sudan"
34.125,13.625,"Des_Line","POINT (34.125 13.625)","Sudan"
40.125,13.625,"Des_Line","POINT (40.125 13.625)","Ethiopia"
9.375,13.375,"Des_Line","POINT (9.375 13.375)","Niger"
9.625,13.375,"Des_Line","POINT (9.625 13.375)","Niger"
9.875,13.375,"Des_Line","POINT (9.875 13.375)","Niger"
10.125,13.375,"Des_Line","POINT (10.125 13.375)","Niger"
10.375,13.375,"Des_Line","POINT (10.375 13.375)","Niger"
10.625,13.375,"Des_Line","POINT (10.625 13.375)","Niger"
11.625,13.375,"Des_Line","POINT (11.625 13.375)","Niger"
11.875,13.375,"Des_Line","POINT (11.875 13.375)","Niger"
12.125,13.375,"Des_Line","POINT (12.125 13.375)","Niger"
17.625,13.375,"Des_Line","POINT (17.625 13.375)","Chad"
17.875,13.375,"Des_Line","POINT (17.875 13.375)","Chad"
18.125,13.375,"Des_Line","POINT (18.125 13.375)","Chad"
24.375,13.375,"Des_Line","POINT (24.375 13.375)","Sudan"
24.625,13.375,"Des_Line","POINT (24.625 13.375)","Sudan"
34.125,13.375,"Des_Line","POINT (34.125 13.375)","Sudan"
40.125,13.375,"Des_Line","POINT (40.125 13.375)","Ethiopia"
12.125,13.125,"Des_Line","POINT (12.125 13.125)","Niger"
17.125,13.125,"Des_Line","POINT (17.125 13.125)","Chad"
17.375,13.125,"Des_Line","POINT (17.375 13.125)","Chad"
24.625,13.125,"Des_Line","POINT (24.625 13.125)","Sudan"
34.125,13.125,"Des_Line","POINT (34.125 13.125)","Sudan"
40.125,13.125,"Des_Line","POINT (40.125 13.125)","Ethiopia"
12.375,12.875,"Des_Line","POINT (12.375 12.875)","Nigeria"
16.875,12.875,"Des_Line","POINT (16.875 12.875)","Chad"
17.125,12.875,"Des_Line","POINT (17.125 12.875)","Chad"
24.625,12.875,"Des_Line","POINT (24.625 12.875)","Sudan"
33.875,12.875,"Des_Line","POINT (33.875 12.875)","Sudan"
40.125,12.875,"Des_Line","POINT (40.125 12.875)","Ethiopia"
12.375,12.625,"Des_Line","POINT (12.375 12.625)","Nigeria"
16.375,12.625,"Des_Line","POINT (16.375 12.625)","Chad"
16.625,12.625,"Des_Line","POINT (16.625 12.625)","Chad"
24.625,12.625,"Des_Line","POINT (24.625 12.625)","Sudan"
29.375,12.625,"Des_Line","POINT (29.375 12.625)","Sudan"
29.625,12.625,"Des_Line","POINT (29.625 12.625)","Sudan"
31.125,12.625,"Des_Line","POINT (31.125 12.625)","Sudan"
33.875,12.625,"Des_Line","POINT (33.875 12.625)","Sudan"
40.375,12.625,"Des_Line","POINT (40.375 12.625)","Ethiopia"
12.625,12.375,"Des_Line","POINT (12.625 12.375)","Nigeria"
16.125,12.375,"Des_Line","POINT (16.125 12.375)","Chad"
16.375,12.375,"Des_Line","POINT (16.375 12.375)","Chad"
23.625,12.375,"Des_Line","POINT (23.625 12.375)","Sudan"
23.875,12.375,"Des_Line","POINT (23.875 12.375)","Sudan"
24.125,12.375,"Des_Line","POINT (24.125 12.375)","Sudan"
24.375,12.375,"Des_Line","POINT (24.375 12.375)","Sudan"
24.625,12.375,"Des_Line","POINT (24.625 12.375)","Sudan"
28.625,12.375,"Des_Line","POINT (28.625 12.375)","Sudan"
28.875,12.375,"Des_Line","POINT (28.875 12.375)","Sudan"
29.125,12.375,"Des_Line","POINT (29.125 12.375)","Sudan"
29.875,12.375,"Des_Line","POINT (29.875 12.375)","Sudan"
30.125,12.375,"Des_Line","POINT (30.125 12.375)","Sudan"
30.375,12.375,"Des_Line","POINT (30.375 12.375)","Sudan"
30.625,12.375,"Des_Line","POINT (30.625 12.375)","Sudan"
30.875,12.375,"Des_Line","POINT (30.875 12.375)","Sudan"
31.375,12.375,"Des_Line","POINT (31.375 12.375)","Sudan"
31.625,12.375,"Des_Line","POINT (31.625 12.375)","Sudan"
31.875,12.375,"Des_Line","POINT (31.875 12.375)","Sudan"
33.625,12.375,"Des_Line","POINT (33.625 12.375)","Sudan"
33.875,12.375,"Des_Line","POINT (33.875 12.375)","Sudan"
40.375,12.375,"Des_Line","POINT (40.375 12.375)","Ethiopia"
12.625,12.125,"Des_Line","POINT (12.625 12.125)","Nigeria"
15.625,12.125,"Des_Line","POINT (15.625 12.125)","Chad"
15.875,12.125,"Des_Line","POINT (15.875 12.125)","Chad"
22.875,12.125,"Des_Line","POINT (22.875 12.125)","Sudan"
23.125,12.125,"Des_Line","POINT (23.125 12.125)","Sudan"
23.375,12.125,"Des_Line","POINT (23.375 12.125)","Sudan"
28.125,12.125,"Des_Line","POINT (28.125 12.125)","Sudan"
28.375,12.125,"Des_Line","POINT (28.375 12.125)","Sudan"
31.875,12.125,"Des_Line","POINT (31.875 12.125)","Sudan"
32.125,12.125,"Des_Line","POINT (32.125 12.125)","Sudan"
33.375,12.125,"Des_Line","POINT (33.375 12.125)","Sudan"
33.625,12.125,"Des_Line","POINT (33.625 12.125)","Sudan"
40.625,12.125,"Des_Line","POINT (40.625 12.125)","Ethiopia"
12.875,11.875,"Des_Line","POINT (12.875 11.875)","Nigeria"
15.125,11.875,"Des_Line","POINT (15.125 11.875)","Chad"
15.375,11.875,"Des_Line","POINT (15.375 11.875)","Chad"
22.875,11.875,"Des_Line","POINT (22.875 11.875)","Sudan"
24.875,11.875,"Des_Line","POINT (24.875 11.875)","Sudan"
25.125,11.875,"Des_Line","POINT (25.125 11.875)","Sudan"
25.375,11.875,"Des_Line","POINT (25.375 11.875)","Sudan"
25.625,11.875,"Des_Line","POINT (25.625 11.875)","Sudan"
25.875,11.875,"Des_Line","POINT (25.875 11.875)","Sudan"
27.875,11.875,"Des_Line","POINT (27.875 11.875)","Sudan"
28.125,11.875,"Des_Line","POINT (28.125 11.875)","Sudan"
32.375,11.875,"Des_Line","POINT (32.375 11.875)","S. Sudan"
32.625,11.875,"Des_Line","POINT (32.625 11.875)","S. Sudan"
32.875,11.875,"Des_Line","POINT (32.875 11.875)","S. Sudan"
33.125,11.875,"Des_Line","POINT (33.125 11.875)","S. Sudan"
40.625,11.875,"Des_Line","POINT (40.625 11.875)","Ethiopia"
40.875,11.875,"Des_Line","POINT (40.875 11.875)","Ethiopia"
12.875,11.625,"Des_Line","POINT (12.875 11.625)","Nigeria"
13.125,11.625,"Des_Line","POINT (13.125 11.625)","Nigeria"
13.375,11.625,"Des_Line","POINT (13.375 11.625)","Nigeria"
13.625,11.625,"Des_Line","POINT (13.625 11.625)","Nigeria"
13.875,11.625,"Des_Line","POINT (13.875 11.625)","Nigeria"
14.125,11.625,"Des_Line","POINT (14.125 11.625)","Nigeria"
14.375,11.625,"Des_Line","POINT (14.375 11.625)","Nigeria"
14.625,11.625,"Des_Line","POINT (14.625 11.625)","Cameroon"
14.875,11.625,"Des_Line","POINT (14.875 11.625)","Cameroon"
22.875,11.625,"Des_Line","POINT (22.875 11.625)","Sudan"
24.875,11.625,"Des_Line","POINT (24.875 11.625)","Sudan"
25.875,11.625,"Des_Line","POINT (25.875 11.625)","Sudan"
26.125,11.625,"Des_Line","POINT (26.125 11.625)","Sudan"
27.625,11.625,"Des_Line","POINT (27.625 11.625)","Sudan"
27.875,11.625,"Des_Line","POINT (27.875 11.625)","Sudan"
40.875,11.625,"Des_Line","POINT (40.875 11.625)","Ethiopia"
41.125,11.625,"Des_Line","POINT (41.125 11.625)","Ethiopia"
22.875,11.375,"Des_Line","POINT (22.875 11.375)","Chad"
24.625,11.375,"Des_Line","POINT (24.625 11.375)","Sudan"
26.375,11.375,"Des_Line","POINT (26.375 11.375)","Sudan"
26.625,11.375,"Des_Line","POINT (26.625 11.375)","Sudan"
26.875,11.375,"Des_Line","POINT (26.875 11.375)","Sudan"
27.125,11.375,"Des_Line","POINT (27.125 11.375)","Sudan"
27.375,11.375,"Des_Line","POINT (27.375 11.375)","Sudan"
27.625,11.375,"Des_Line","POINT (27.625 11.375)","Sudan"
41.125,11.375,"Des_Line","POINT (41.125 11.375)","Ethiopia"
41.375,11.375,"Des_Line","POINT (41.375 11.375)","Ethiopia"
22.875,11.125,"Des_Line","POINT (22.875 11.125)","Sudan"
23.125,11.125,"Des_Line","POINT (23.125 11.125)","Sudan"
24.625,11.125,"Des_Line","POINT (24.625 11.125)","Sudan"
41.375,11.125,"Des_Line","POINT (41.375 11.125)","Ethiopia"
41.625,11.125,"Des_Line","POINT (41.625 11.125)","Ethiopia"
23.125,10.875,"Des_Line","POINT (23.125 10.875)","Sudan"
23.375,10.875,"Des_Line","POINT (23.375 10.875)","Sudan"
24.375,10.875,"Des_Line","POINT (24.375 10.875)","Sudan"
24.625,10.875,"Des_Line","POINT (24.625 10.875)","Sudan"
41.625,10.875,"Des_Line","POINT (41.625 10.875)","Ethiopia"
41.875,10.875,"Des_Line","POINT (41.875 10.875)","Ethiopia"
23.375,10.625,"Des_Line","POINT (23.375 10.625)","Sudan"
23.625,10.625,"Des_Line","POINT (23.625 10.625)","Sudan"
23.875,10.625,"Des_Line","POINT (23.875 10.625)","Sudan"
24.125,10.625,"Des_Line","POINT (24.125 10.625)","Sudan"
24.375,10.625,"Des_Line","POINT (24.375 10.625)","Sudan"
42.125,10.625,"Des_Line","POINT (42.125 10.625)","Ethiopia"
