lon,lat,CLASS,geometry,index_right,pop_est,continent,name,iso_a3,gdp_md_est
-11.625,15.125,Des_Line,POINT (-11.625 15.125),52,19658031.0,Africa,Mali,MLI,17279
-11.375,15.125,Des_Line,POINT (-11.375 15.125),52,19658031.0,Africa,Mali,MLI,17279
-11.125,15.125,Des_Line,POINT (-11.125 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.875,15.125,Des_Line,POINT (-10.875 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.625,15.125,Des_Line,POINT (-10.625 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.375,15.125,Des_Line,POINT (-10.375 15.125),52,19658031.0,Africa,Mali,MLI,17279
-10.125,15.125,Des_Line,POINT (-10.125 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.875,15.125,Des_Line,POINT (-9.875 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.625,15.125,Des_Line,POINT (-9.625 15.125),52,19658031.0,Africa,Mali,MLI,17279
-9.375,15.125,Des_Line,POINT (-9.375 15.125),52,19658031.0,Africa,Mali,MLI,17279
-15.875,14.875,Des_Line,POINT (-15.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-15.625,14.875,Des_Line,POINT (-15.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-15.375,14.875,Des_Line,POINT (-15.375 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-15.125,14.875,Des_Line,POINT (-15.125 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-14.875,14.875,Des_Line,POINT (-14.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-14.625,14.875,Des_Line,POINT (-14.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-14.375,14.875,Des_Line,POINT (-14.375 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-14.125,14.875,Des_Line,POINT (-14.125 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.875,14.875,Des_Line,POINT (-13.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.625,14.875,Des_Line,POINT (-13.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.375,14.875,Des_Line,POINT (-13.375 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-13.125,14.875,Des_Line,POINT (-13.125 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-12.875,14.875,Des_Line,POINT (-12.875 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-12.625,14.875,Des_Line,POINT (-12.625 14.875),51,16296364.0,Africa,Senegal,SEN,23578
-12.375,14.875,Des_Line,POINT (-12.375 14.875),53,4525696.0,Africa,Mauritania,MRT,7600
-12.125,14.875,Des_Line,POINT (-12.125 14.875),53,4525696.0,Africa,Mauritania,MRT,7600
-11.875,14.875,Des_Line,POINT (-11.875 14.875),53,4525696.0,Africa,Mauritania,MRT,7600
-9.125,14.875,Des_Line,POINT (-9.125 14.875),52,19658031.0,Africa,Mali,MLI,17279
-8.875,14.875,Des_Line,POINT (-8.875 14.875),52,19658031.0,Africa,Mali,MLI,17279
-8.625,14.875,Des_Line,POINT (-8.625 14.875),52,19658031.0,Africa,Mali,MLI,17279
-8.375,14.875,Des_Line,POINT (-8.375 14.875),52,19658031.0,Africa,Mali,MLI,17279
-8.125,14.875,Des_Line,POINT (-8.125 14.875),52,19658031.0,Africa,Mali,MLI,17279
-7.875,14.875,Des_Line,POINT (-7.875 14.875),52,19658031.0,Africa,Mali,MLI,17279
