lon,lat,CLASS,geometry,index_right,pop_est,continent,name,iso_a3,gdp_md_est
-12.625,14.625,Des_Line,POINT (-12.625 14.625),51,16296364.0,Africa,Senegal,SEN,23578
-12.375,14.625,Des_Line,POINT (-12.375 14.625),51,16296364.0,Africa,Senegal,SEN,23578
-13.625,14.375,Des_Line,POINT (-13.625 14.375),51,16296364.0,Africa,Senegal,SEN,23578
-13.375,14.375,Des_Line,POINT (-13.375 14.375),51,16296364.0,Africa,Senegal,SEN,23578
-13.125,14.375,Des_Line,POINT (-13.125 14.375),51,16296364.0,Africa,Senegal,SEN,23578
-12.875,14.375,Des_Line,POINT (-12.875 14.375),51,16296364.0,Africa,Senegal,SEN,23578
-12.125,14.375,Des_Line,POINT (-12.125 14.375),52,19658031.0,Africa,Mali,MLI,17279
-11.875,14.375,Des_Line,POINT (-11.875 14.375),52,19658031.0,Africa,Mali,MLI,17279
-11.625,14.375,Des_Line,POINT (-11.625 14.375),52,19658031.0,Africa,Mali,MLI,17279
37.875,14.375,Des_Line,POINT (37.875 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
38.125,14.375,Des_Line,POINT (38.125 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
38.375,14.375,Des_Line,POINT (38.375 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
38.875,14.375,Des_Line,POINT (38.875 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
39.125,14.375,Des_Line,POINT (39.125 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
39.375,14.375,Des_Line,POINT (39.375 14.375),165,112078730.0,Africa,Ethiopia,ETH,95912
-15.125,14.125,Des_Line,POINT (-15.125 14.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.875,14.125,Des_Line,POINT (-14.875 14.125),51,16296364.0,Africa,Senegal,SEN,23578
-14.625,14.125,Des_Line,POINT (-14.625 14.125),51,16296364.0,Africa,Senegal,SEN,23578
